Clone,Culm ID,Flower,Treatment,Seed_set,Group_weight_mg,Ave_seed_weight
4,4xE1,2,outcrossed,4,3.9,0.975
7,7xA1,1,outcrossed,7,6.5,0.928571429
7,7xA1,2,outcrossed,3,4.1,1.366666667
7,7xB1,2,outcrossed,1,1.1,1.1
7,7xB1,1,outcrossed,5,5.2,1.04
7,7xC1,1,outcrossed,5,6.4,1.28
8,8x?1,1,outcrossed,3,3.9,1.3
8,8x?1,2,outcrossed,1,0.7,0.7
8,8xA2,1,outcrossed,3,6.4,2.133333333
8,8xA1,2,outcrossed,8,14.5,1.8125
8,8xA1,1,outcrossed,3,6.4,2.133333333
8,8xB1,1,outcrossed,1,1.1,1.1
8,8xB1,2,outcrossed,1,1.2,1.2
8,8xB2,1,outcrossed,4,2.3,0.575
8,8xB3,2,outcrossed,5,4.8,0.96
8,8xB3,1,outcrossed,5,6.4,1.28
8,8xC1,3,outcrossed,2,2.6,1.3
8,8xC1,2,outcrossed,3,2.7,0.9
8,8xC1,1,outcrossed,4,5,1.25
8,8xD1,1,outcrossed,4,7.1,1.775
8,8xD1,3,outcrossed,7,7,1
8,8xD1,2,outcrossed,5,6.4,1.28
8,8xE1,1,outcrossed,2,2,1
8,8xH1,1,outcrossed,2,2.5,1.25
8,8xI1,1,outcrossed,7,6.4,0.914285714
8,8xI1,2,outcrossed,11,13.4,1.218181818
8,8xI2,2,outcrossed,6,7.2,1.2
8,8xI2,1,outcrossed,4,3.6,0.9
8,8xI3,1,outcrossed,2,2.4,1.2
8,8xI3,2,outcrossed,4,5,1.25
8,8xJ1,1,outcrossed,7,8.4,1.2
8,8xK1,1,outcrossed,2,2.3,1.15
8,8xL1,3,outcrossed,7,5.1,0.728571429
8,8xL1,1,outcrossed,1,0.8,0.8
8,8xL1,2,outcrossed,5,4.6,0.92
8,8xN1,1,outcrossed,3,3.8,1.266666667
